Rk,Player,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,id
1,Antonio Brown*+,27,WR,16,16,193,136,70.5%,1834,13.5,10,59,9.5,8.5,114.6,3,BrowAn04
2,Julio Jones*+,26,WR,16,16,203,136,67.0%,1871,13.8,8,70,9.2,8.5,116.9,3,JoneJu02
3,DeAndre Hopkins*,23,WR,16,16,192,111,57.8%,1521,13.7,11,61,7.9,6.9,95.1,1,HopkDe00
4,Jarvis Landry*,23,WR,16,14,166,110,66.3%,1157,10.5,4,50,7.0,6.9,72.3,1,LandJa00
5,Larry Fitzgerald*,32,WR,16,16,145,109,75.2%,1215,11.1,9,44,8.4,6.8,75.9,2,FitzLa00
6,Brandon Marshall*,31,WR,16,16,173,109,63.0%,1502,13.8,14,69,8.7,6.8,93.9,3,MarsBr00
7,Demaryius Thomas,28,WR,16,16,177,105,59.3%,1304,12.4,6,72,7.4,6.6,81.5,2,ThomDe03
8,Odell Beckham Jr.*,23,WR,15,15,158,96,60.8%,1450,15.1,13,87,9.2,6.4,96.7,2,BeckOd00
9,Delanie Walker*,31,TE,15,10,133,94,70.7%,1088,11.6,6,61,8.2,6.3,72.5,0,WalkHu00
10,Golden Tate,27,WR,16,16,128,90,70.3%,813,9.0,6,43,6.4,5.6,50.8,1,TateGo00
11,Calvin Johnson*,30,WR,16,16,149,88,59.1%,1214,13.8,9,57,8.1,5.5,75.9,1,JohnCa00
12,Jeremy Maclin,27,WR,15,15,124,87,70.2%,1088,12.5,8,61,8.8,5.8,72.5,2,MaclJe00
13,Jordan Reed,25,TE,14,8,114,87,76.3%,952,10.9,11,32,8.4,6.2,68.0,3,ReedJo02
14,A.J. Green*,27,WR,16,16,132,86,65.2%,1297,15.1,10,80,9.8,5.4,81.1,1,GreeA.00
15,Michael Crabtree,28,WR,16,15,146,85,58.2%,922,10.8,9,38,6.3,5.3,57.6,1,CrabMi00
16,Jordan Matthews,23,WR,16,12,126,85,67.5%,997,11.7,8,78,7.9,5.3,62.3,2,MattJo00
17,Brandin Cooks,22,WR,16,12,129,84,65.1%,1138,13.5,9,71,8.8,5.3,71.1,1,CookBr00
18,Eric Decker,28,WR,15,13,132,80,60.6%,1027,12.8,12,35,7.8,5.3,68.5,1,DeckEr00
19,Theo Riddick,24,RB,16,1,99,80,80.8%,697,8.7,3,34,7.0,5.0,43.6,1,RiddTh00
20,Allen Robinson*,22,WR,16,16,151,80,53.0%,1400,17.5,14,90,9.3,5.0,87.5,0,RobiAl02
21,Danny Woodhead,30,RB,16,2,106,80,75.5%,755,9.4,6,61,7.1,5.0,47.2,0,WoodDa02
22,Gary Barnidge*,30,TE,16,13,125,79,63.2%,1043,13.2,9,40,8.3,4.9,65.2,0,BarnGa01
23,Randall Cobb,25,WR,16,15,129,79,61.2%,829,10.5,6,53,6.4,4.9,51.8,1,CobbRa00
24,Doug Baldwin,27,WR,16,16,103,78,75.7%,1069,13.7,14,80,10.4,4.9,66.8,1,BaldDo00
25,Greg Olsen*,30,TE,16,16,124,77,62.1%,1104,14.3,7,52,8.9,4.8,69.0,1,OlseGr00
26,Jason Witten,33,TE,16,16,104,77,74.0%,713,9.3,3,35,6.9,4.8,44.6,1,WittJa00
27,Emmanuel Sanders,28,WR,15,15,136,76,55.9%,1135,14.9,6,75,8.3,5.1,75.7,2,SandEm00
28,Kamar Aiken,26,WR,16,14,127,75,59.1%,944,12.6,5,48,7.4,4.7,59.0,1,AikeKa00
29,Zach Ertz,25,TE,15,7,112,75,67.0%,853,11.4,2,60,7.6,5.0,56.9,1,ErtzZa00
30,Mike Evans,22,WR,15,14,148,74,50.0%,1206,16.3,3,68,8.1,4.9,80.4,1,EvanMi00
31,Ben Watson,35,TE,16,16,110,74,67.3%,825,11.1,6,46,7.5,4.6,51.6,1,WatsBe00
32,Devonta Freeman*,23,RB,15,13,97,73,75.3%,578,7.9,3,44,6.0,4.9,38.5,3,FreeDe00
33,Amari Cooper*,21,WR,16,15,130,72,55.4%,1070,14.9,6,68,8.2,4.5,66.9,1,CoopAm00
34,Pierre Garcon,29,WR,16,16,111,72,64.9%,777,10.8,6,39,7.0,4.5,48.6,0,GarcPi00
35,Rob Gronkowski*+,26,TE,15,15,120,72,60.0%,1176,16.3,11,76,9.8,4.8,78.4,0,GronRo00
36,Travis Kelce*,26,TE,16,16,103,72,69.9%,875,12.2,5,42,8.5,4.5,54.7,2,KelcTr00
